epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.97797,0.65117,0.53291,1.05559,0.63862,0.61667,0.87797,0.62673,1.49549,1.52863,1.41402,0,0,0
2,3.90155,0.61113,0.60773,1.10212,0.63202,0.61667,0.87676,0.62601,1.48722,1.49902,1.40851,1.07219e-06,1.07219e-06,1.07219e-06
3,5.88601,0.59623,0.51488,0.99932,0.66571,0.6,0.8767,0.6281,1.46655,1.47013,1.39536,1.90876e-06,1.90876e-06,1.90876e-06
4,7.87011,0.56492,0.55571,0.98799,0.70892,0.6,0.87543,0.6278,1.46534,1.45306,1.39736,2.50971e-06,2.50971e-06,2.50971e-06
5,9.85139,0.56414,0.44452,0.98527,0.73934,0.58333,0.87488,0.63056,1.48021,1.44712,1.40939,2.87504e-06,2.87504e-06,2.87504e-06
6,11.8957,0.73985,0.91231,1.17875,0.75628,0.57226,0.87456,0.62626,1.48155,1.436,1.41402,3.00475e-06,3.00475e-06,3.00475e-06
7,13.9879,0.55255,0.51647,0.94719,0.7809,0.56667,0.89826,0.64751,1.47556,1.43733,1.41665,2.89884e-06,2.89884e-06,2.89884e-06
8,16.2558,0.57751,0.69118,0.99978,0.80425,0.56667,0.89796,0.65042,1.47355,1.41682,1.41558,2.55731e-06,2.55731e-06,2.55731e-06
9,18.3414,0.62924,0.53365,0.94239,0.84482,0.56667,0.89683,0.64728,1.48089,1.41202,1.4226,1.98016e-06,1.98016e-06,1.98016e-06
10,20.4489,0.86781,0.66124,1.16261,0.87347,0.56172,0.88311,0.6469,1.47753,1.38369,1.42791,1.16739e-06,1.16739e-06,1.16739e-06
