epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10328,0.66793,0.566,1.07137,0.97524,0.35878,0.61528,0.47061,1.50507,1.59603,1.41631,0,0,0
2,4.14827,0.65941,0.71683,1.15616,0.97735,0.35783,0.61227,0.46919,1.50761,1.57121,1.41996,1.07219e-06,1.07219e-06,1.07219e-06
3,6.0821,0.62162,0.54286,1.01713,0.97884,0.35712,0.82838,0.62102,1.51364,1.56163,1.4234,1.90876e-06,1.90876e-06,1.90876e-06
4,8.05793,0.61442,0.58205,1.00544,0.97949,0.35669,0.82495,0.62168,1.50944,1.55876,1.41846,2.50971e-06,2.50971e-06,2.50971e-06
5,9.95713,0.57989,0.47171,0.9922,0.9797,0.35656,0.88376,0.62731,1.50116,1.54627,1.4142,2.87504e-06,2.87504e-06,2.87504e-06
6,11.9393,0.75128,0.9334,1.19545,0.64738,0.61667,0.88063,0.62672,1.48894,1.52589,1.4126,3.00475e-06,3.00475e-06,3.00475e-06
7,13.9406,0.56352,0.54021,0.95162,0.63405,0.61667,0.79381,0.54246,1.4651,1.50578,1.4074,2.89884e-06,2.89884e-06,2.89884e-06
8,16.0625,0.61392,0.72087,1.01283,0.68026,0.6,0.87547,0.6248,1.44853,1.48949,1.39531,2.55731e-06,2.55731e-06,2.55731e-06
9,17.9782,0.63973,0.54164,0.94595,0.72183,0.56667,0.7949,0.54146,1.42946,1.47481,1.39292,1.98016e-06,1.98016e-06,1.98016e-06
10,19.8926,0.88525,0.68725,1.17236,0.75421,0.56667,0.79352,0.55735,1.43076,1.44368,1.39509,1.16739e-06,1.16739e-06,1.16739e-06
