epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26176,3.17971,5.61848,3.03092,0.00014,0.01667,0.0001,2e-05,3.35747,5.42883,3.99432,0,0,0
2,4.39542,3.03385,5.80289,3.60257,0.00014,0.01667,9e-05,1e-05,3.24249,5.39731,3.99617,1.07219e-06,1.07219e-06,1.07219e-06
3,6.45499,2.66045,5.70213,3.61159,0,0,0,0,3.16433,5.43978,3.99555,1.90876e-06,1.90876e-06,1.90876e-06
4,8.47493,2.91863,5.81577,3.36788,0,0,0,0,3.14463,5.48694,3.97645,2.50971e-06,2.50971e-06,2.50971e-06
5,10.5048,3.17604,5.66162,3.19985,0,0,0,0,3.14829,5.48734,3.96437,2.87504e-06,2.87504e-06,2.87504e-06
6,12.5511,2.867,5.70823,3.39674,0,0,0,0,3.11162,5.45918,3.96285,3.00475e-06,3.00475e-06,3.00475e-06
7,14.9269,2.95697,5.85487,3.18501,0,0,0,0,3.09524,5.4487,3.95358,2.89884e-06,2.89884e-06,2.89884e-06
8,17.1245,2.92013,5.5517,3.43451,0,0,0,0,3.07905,5.43399,3.93561,2.55731e-06,2.55731e-06,2.55731e-06
9,19.2277,2.94288,5.62569,3.25683,0,0,0,0,3.07152,5.41079,3.92285,1.98016e-06,1.98016e-06,1.98016e-06
10,21.2319,2.83651,5.68333,3.59284,0,0,0,0,3.07285,5.37518,3.89755,1.16739e-06,1.16739e-06,1.16739e-06
