epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05707,0.74084,0.68188,1.10929,0.7956,0.36204,0.55419,0.41929,1.5603,1.90116,1.44885,0,0,0
2,4.04877,0.71436,0.85307,1.21829,0.79847,0.36138,0.5553,0.42186,1.57968,1.86418,1.46471,1.07219e-06,1.07219e-06,1.07219e-06
3,6.08286,0.70434,0.60875,1.07614,0.73827,0.38952,0.57191,0.43225,1.57769,1.81818,1.46414,1.90876e-06,1.90876e-06,1.90876e-06
4,8.00744,0.68819,0.64746,1.03277,0.73907,0.38913,0.58232,0.43015,1.57136,1.77326,1.45974,2.50971e-06,2.50971e-06,2.50971e-06
5,9.99038,0.60721,0.53498,1.01152,0.80352,0.35969,0.5836,0.43079,1.57024,1.73745,1.45441,2.87504e-06,2.87504e-06,2.87504e-06
6,12.01,0.83709,1.1552,1.24734,0.80397,0.36008,0.55781,0.41998,1.57089,1.7067,1.45148,3.00475e-06,3.00475e-06,3.00475e-06
7,14.1642,0.59217,0.5717,0.96558,0.97071,0.36048,0.58275,0.43843,1.55156,1.67213,1.44038,2.89884e-06,2.89884e-06,2.89884e-06
8,16.2396,0.61369,0.77858,1.01919,0.97287,0.35969,0.58102,0.43969,1.53318,1.6278,1.43037,2.55731e-06,2.55731e-06,2.55731e-06
9,18.2786,0.65778,0.63511,0.96092,0.97333,0.35974,0.58537,0.44139,1.51899,1.6116,1.42279,1.98016e-06,1.98016e-06,1.98016e-06
10,20.3086,0.92484,0.73655,1.20808,0.97438,0.35949,0.58423,0.43984,1.50538,1.58818,1.41623,1.16739e-06,1.16739e-06,1.16739e-06
