epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95433,3.22732,5.62477,3.06103,0.00014,0.01667,9e-05,1e-05,3.8424,5.7423,3.49382,0,0,0
2,3.96889,3.07018,5.78591,3.61985,0.00014,0.01667,0.00018,7e-05,3.64504,5.28305,3.60754,1.07219e-06,1.07219e-06,1.07219e-06
3,6.07384,2.69507,5.70055,3.62383,0.00028,0.03333,0.00104,0.00021,3.52853,5.34925,3.88671,1.90876e-06,1.90876e-06,1.90876e-06
4,8.09203,2.95527,5.8073,3.37301,0.00042,0.05,0.02713,0.00701,3.58409,5.27806,3.97013,2.50971e-06,2.50971e-06,2.50971e-06
5,10.1007,3.19562,5.65526,3.20451,0.00028,0.03333,0.00217,0.00023,3.44339,5.39616,3.99768,2.87504e-06,2.87504e-06,2.87504e-06
6,12.1642,2.86862,5.70634,3.39667,0.00014,0.01667,0.00065,7e-05,3.32686,5.41732,3.97906,3.00475e-06,3.00475e-06,3.00475e-06
7,14.0911,2.95597,5.85,3.18263,0,0,0,0,3.25256,5.41299,3.98924,2.89884e-06,2.89884e-06,2.89884e-06
8,16.0216,2.92504,5.55385,3.43546,0,0,0,0,3.15763,5.4508,4.01628,2.55731e-06,2.55731e-06,2.55731e-06
9,18.0473,2.93734,5.63277,3.25567,0,0,0,0,3.13657,5.46738,3.99995,1.98016e-06,1.98016e-06,1.98016e-06
10,20.1866,2.8442,5.68312,3.59117,0,0,0,0,3.10918,5.44118,3.99236,1.16739e-06,1.16739e-06,1.16739e-06
