epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.79267,3.17971,5.61848,3.03092,0.00042,0.05,0.01229,0.00124,3.46927,5.33933,4.01658,0,0,0
2,3.80376,3.03385,5.80289,3.60257,0.00014,0.01667,0.0001,2e-05,3.32961,5.43977,3.981,1.07219e-06,1.07219e-06,1.07219e-06
3,5.81097,2.66045,5.70213,3.61159,0,0,0,0,3.20475,5.40664,3.99542,1.90876e-06,1.90876e-06,1.90876e-06
4,7.81652,2.91863,5.81577,3.36788,0,0,0,0,3.14747,5.462,3.98623,2.50971e-06,2.50971e-06,2.50971e-06
5,9.80344,3.17604,5.66162,3.19985,0,0,0,0,3.1473,5.47852,3.97365,2.87504e-06,2.87504e-06,2.87504e-06
6,11.8147,2.867,5.70823,3.39674,0,0,0,0,3.12167,5.46545,3.97335,3.00475e-06,3.00475e-06,3.00475e-06
7,13.7899,2.95697,5.85487,3.18501,0,0,0,0,3.10102,5.4589,3.96642,2.89884e-06,2.89884e-06,2.89884e-06
8,16.6825,2.92013,5.5517,3.43451,0,0,0,0,3.09373,5.46249,3.94668,2.55731e-06,2.55731e-06,2.55731e-06
9,18.9235,2.94288,5.62569,3.25683,0,0,0,0,3.08506,5.43412,3.93682,1.98016e-06,1.98016e-06,1.98016e-06
10,21.1282,2.83651,5.68333,3.59284,0,0,0,0,3.06064,5.39791,3.91774,1.16739e-06,1.16739e-06,1.16739e-06
